Day,Month,Year,Imputed_Air_Temp,Precip_Season,Total_rain_m,TOAmidnight,Zenith_midnight,Azimuth_midnight,TOA6am,Zenith_6am,Azimuth_6am,TOAnoon,Zenith_noon,Azimuth_noon,TOA6pm,Zenith_6pm,Azimuth_6pm,Tau
1,10,2009,-2.572604188,0,0,0,114.1605644,6.425305966,0,90.89983596,96.6570434,427.02,72.30815843,186.1937495,0,95.33588109,274.2974872,0.45
2,10,2009,-3.054485688,0,0,0,114.5445632,6.531111718,0,91.23266501,96.87109297,418.16,72.69829006,186.2616868,0,95.72572188,274.2320344,0.45
3,10,2009,-7.658828125,0,0,0,114.927892,6.636102222,0,91.56532196,97.08371631,409.3,73.08769145,186.327958,0,96.11438519,274.1654692,0.45
4,10,2009,-8.115843375,0,0,0,115.3104576,6.740172477,0,91.89774318,97.29480682,400.44,73.47625831,186.39249,0,96.5017452,274.0977345,0.45
5,10,2009,-6.894325792,0,0,0,115.6921664,6.843216301,0,92.22986447,97.50425799,391.58,73.86388579,186.4552106,0,96.88767573,274.0287739,0.45
6,10,2009,-4.784465354,0,0,0,116.0729247,6.945126386,0,92.56162096,97.71196337,382.72,74.2504684,186.516049,0,97.27205023,273.9585317,0.45
7,10,2009,-5.4567385,0,0,0,116.4526383,7.045794363,0,92.89294712,97.91781666,373.88,74.63590011,186.5749353,0,97.65474182,273.8869529,0.45
8,10,2009,-4.265475583,0,0,0,116.8312128,7.145110879,0,93.22377673,98.12171177,365.04,75.02007426,186.6318011,0,98.03562329,273.8139838,0.45
9,10,2009,-4.571566125,0,0,0,117.2085531,7.24296567,0,93.5540428,98.32354288,356.23,75.40288364,186.6865789,0,98.41456719,273.7395715,0.45
10,10,2009,-4.574473938,0,0,0,117.5845641,7.339247653,0,93.88367762,98.52320447,347.43,75.78422046,186.739203,0,98.79144581,273.6636646,0.45
11,10,2009,-5.499928583,0,0,0,117.95915,7.433845011,0,94.21261264,98.72059143,338.65,76.16397639,186.7896087,0,99.16613121,273.5862128,0.45
12,10,2009,-5.009575479,0,0,0,118.3322148,7.526645299,0,94.5407785,98.9155991,329.89,76.54204252,186.837733,0,99.53849532,273.5071675,0.45
13,10,2009,-5.503639896,0,0,0,118.7036617,7.617535547,0,94.86810497,99.10812336,321.17,76.91830944,186.8835143,0,99.9084099,273.4264814,0.45
14,10,2009,-1.09369789,0,0,0,119.0733937,7.706402375,0,95.19452095,99.29806068,312.47,77.29266722,186.9268929,0,100.2757466,273.3441092,0.45
15,10,2009,3.950768854,0,0.03340001,0,119.4413133,7.793132116,0,95.51995439,99.48530823,303.81,77.66500542,186.9678105,0,100.6403772,273.2600074,0.45
16,10,2009,-0.035369323,0,0,0,119.8073224,7.877610943,0,95.8443323,99.66976395,295.18,78.03521312,187.0062108,0,101.0021733,273.1741345,0.45
17,10,2009,-0.331521727,0,0,0,120.1713224,7.959725009,0,96.16758072,99.85132662,286.6,78.40317897,187.0420392,0,101.3610065,273.0864511,0.45
18,10,2009,2.135179265,0,0.0116,0,120.5332141,8.039360586,0,96.48962467,100.029896,278.05,78.76879117,187.0752432,0,101.7167488,272.9969203,0.45
