Day,Month,Year,Midnight_TOA,Midnight_Zenith,Midnight_Azimuth,6am_TOA,6am_Zenith,6am_Azimuth ,Noon_TOA,Noon_Zenith ,Noon_Azimuth ,6pm_TOA,6pm_Zenith ,6pm_Azimuth
1,1,1926,0.00,134.2011582,3.235236695,0.00,110.5503853,100.9961748,0.00,91.92594853,182.2660005,0.00,112.268323,263.5061509
2,1,1926,0.00,134.1247675,3.080849404,0.00,110.5177797,100.8557865,0.00,91.84172203,182.1586846,0.00,112.1483557,263.433992
3,1,1926,0.00,134.0405868,2.92815434,0.00,110.4776635,100.7134478,0.00,91.74996285,182.052619,0.00,112.0218678,263.3662684
4,1,1926,0.00,133.94866,2.777343596,0.00,110.4300311,100.569296,0.00,91.65071419,181.9479037,0.00,111.8889423,263.3030578
5,1,1926,0.00,133.8490353,2.628604356,0.00,110.3748807,100.4234688,0.00,91.54402268,181.8446366,0.00,111.7496646,263.2444336
6,1,1926,0.00,133.7417653,2.4821185,0.00,110.312215,100.276104,0.00,91.42993837,181.7429142,0.00,111.6041224,263.1904645
7,1,1926,0.00,133.6269064,2.338062225,0.00,110.2420405,100.1273396,0.00,91.30851462,181.6428312,0.00,111.4524054,263.1412149
8,1,1926,0.00,133.5045193,2.196605702,0.00,110.1643679,99.97731303,0.00,91.17980807,181.5444803,0.00,111.2946054,263.0967445
9,1,1926,0.00,133.3746684,2.057912751,0.00,110.0792123,99.82616125,0.00,91.04387854,181.4479521,0.00,111.130816,263.0571082
10,1,1926,0.00,133.2374218,1.922140543,0.00,109.9865924,99.67402046,0.00,90.90078897,181.3533351,0.00,110.9611326,263.0223567
11,1,1926,0.00,133.0928513,1.789439328,0.00,109.8865313,99.52102583,0.00,90.7506053,181.2607158,0.00,110.7856521,262.9925357
12,1,1926,0.00,132.9410322,1.659952198,0.00,109.7790561,99.36731124,0.00,90.59339644,181.170178,0.00,110.604473,262.9676864
13,1,1926,0.00,132.782043,1.533814867,0.00,109.664198,99.21300908,1.69,90.42923416,181.0818033,0.00,110.4176952,262.9478456
14,1,1926,0.00,132.6159654,1.411155483,0.00,109.5419919,99.05825,5.77,90.25819301,180.9956707,0.00,110.2254197,262.933045
15,1,1926,0.00,132.4428841,1.292094474,0.00,109.412477,98.90316269,10.02,90.08035021,180.9118564,0.00,110.0277487,262.9233122
16,1,1926,0.00,132.2628868,1.17674441,0.00,109.2756961,98.74787366,14.42,89.89578558,180.8304344,0.00,109.8247853,262.9186699
