Year,Month,Corrected temp,PrecipSeason,Precip_m_RAW,Tau
1943,9,2.757642,1,0,0.45
1943,10,-2.84141,0,0.03,0.45
1943,11,-5.10813,0,0,0.45
1943,12,-5.81648,0,0.03,0.45
1944,1,-8.64988,0,0.01,0.45
1944,2,-8.012365,0,0.01,0.45
1944,3,-7.587355,0,0.01,0.45
1944,4,-5.95815,0,0,0.45
1944,5,-1.880882,0,0.01,0.45
1944,6,4.63279,1,0.01,0.45
1944,7,7.692242,1,0.04,0.45
1944,8,6.11317,1,0.06,0.45
1944,9,2.560258,1,0.02,0.45
1944,10,-1.14137,0,0.01,0.45
1944,11,-5.887315,0,0.02,0.45
1944,12,-6.52483,0,0.03,0.45
1945,1,-12.04996,0,0.01,0.45
1945,2,-9.287395,0,0.02,0.45
1945,3,-7.870695,0,0.05,0.45
1945,4,-3.40809,0,0.02,0.45
1945,5,-0.499194,0,0.01,0.45
1945,6,4.435406,1,0.03,0.45
1945,7,9.764774,1,0.03,0.45
1945,8,7.692242,1,0.08,0.45
1945,9,1.474646,1,0.01,0.45
1945,10,-4.045605,0,0.02,0.45
1945,11,-4.39978,0,0.04,0.45
1945,12,-9.570735,0,0.02,0.45
1946,1,-6.737335,0,0.02,0.45
1946,2,-15.095865,0,0.04,0.45
1946,3,-9.78324,0,0.01,0.45
1946,4,-4.39978,0,0.01,0.45
1946,5,-0.597886,0,0,0.45
1946,6,5.422326,1,0.08,0.45
1946,7,8.876546,1,0.05,0.45
1946,8,7.692242,1,0.02,0.45
1946,9,3.941946,1,0.05,0.45
1946,10,-2.487235,0,0.04,0.45
1946,11,-6.52483,0,0.02,0.45
1946,12,-5.2498,0,0,0.45
1947,1,-8.862385,0,0.01,0.45
1947,2,-13.254155,0,0.01,0.45
1947,3,-10.420755,0,0.01,0.45
1947,4,-4.68312,0,0.01,0.45
1947,5,-0.203118,0,0.01,0.45
1947,6,6.705322,1,0.06,0.45
1947,7,9.863466,1,0.04,0.45
1947,8,6.902706,1,0.02,0.45
1947,9,3.349794,1,0.05,0.45
1947,10,-2.770575,0,0.02,0.45
1947,11,-8.93322,0,0.02,0.45
1947,12,-9.712405,0,0.02,0.45
1948,1,-14.387515,0,0.01,0.45
1948,2,-8.22487,0,0.02,0.45
1948,3,-6.170655,0,0.04,0.45
1948,4,-2.770575,0,0.01,0.45
1948,5,0.19165,1,0.02,0.45
1948,6,4.534098,1,0.03,0.45
1948,7,10.159542,1,0.05,0.45
1948,8,4.534098,1,0.05,0.45
1948,9,2.65895,1,0.02,0.45
1948,10,-3.12475,0,0.01,0.45
1948,11,-4.25811,0,0.02,0.45
1948,12,-5.037295,0,0.05,0.45
1949,1,-7.51652,0,0.05,0.45
1949,2,-7.65819,0,0.02,0.45
1949,3,-8.154035,0,0.01,0.45
1949,4,-3.762265,0,0.02,0.45
1949,5,0.19165,1,0.02,0.45
1949,6,5.027558,1,0.02,0.45
1949,7,5.915786,1,0.03,0.45
1949,8,5.521018,1,0.03,0.45
1949,9,4.435406,1,0.02,0.45
1949,10,-2.69974,0,0.02,0.45
1949,11,-4.82479,0,0,0.45
1949,12,-8.579045,0,0.02,0.45
1950,1,-12.04996,0,0,0.45
1950,2,-11.554115,0,0.01,0.45
1950,3,-6.94984,0,0,0.45
1950,4,-2.487235,0,0.03,0.45
1950,5,-0.005734,0,0.01,0.45
1950,6,6.705322,1,0.03,0.45
1950,7,9.56739,1,0.02,0.45
1950,8,10.653002,1,0.03,0.45
1950,9,4.238022,1,0.03,0.45
1950,10,-1.70805,0,0.01,0.45
1950,11,-7.09151,0,0,0.45
1950,12,-9.570735,0,0.02,0.45
1951,1,-13.18332,0,0.01,0.45
1951,2,-11.837455,0,0,0.45
1951,3,-8.79155,0,0.01,0.45
1951,4,-3.903935,0,0.01,0.45
1951,5,-2.473034,0,0,0.45
1951,6,1.869414,1,0.01,0.45
1951,7,6.11317,1,0.1,0.45
1951,8,9.172622,1,0.03,0.45
1951,9,3.053718,1,0.04,0.45
1951,10,0.55867,1,0.01,0.45
1951,11,-8.36654,0,0.02,0.45
1951,12,-7.587355,0,0.02,0.45
1952,1,-10.137415,0,0.01,0.45
1952,2,-11.129105,0,0.02,0.45
1952,3,-9.995745,0,0.01,0.45
1952,4,-4.045605,0,0.01,0.45
1952,5,-0.696578,0,0.03,0.45
1952,6,6.014478,1,0.12,0.45
1952,7,7.297474,1,0.04,0.45
1952,8,4.336714,1,0.05,0.45
1952,9,1.079878,1,0.03,0.45
1952,10,-4.895625,0,0,0.45
1952,11,-8.437375,0,0.03,0.45
1952,12,-12.262465,0,0.03,0.45
1953,1,-9.21656,0,0.04,0.45
1953,2,-12.829145,0,0.03,0.45
1953,3,-6.028985,0,0.06,0.45
1953,4,-3.903935,0,0.03,0.45
1953,5,-0.79527,0,0.01,0.45
1953,6,9.666082,1,0.02,0.45
1953,7,8.876546,1,0.04,0.45
1953,8,7.790934,1,0.03,0.45
1953,9,1.277262,1,0.02,0.45
1953,10,-1.14137,0,0.02,0.45
1953,11,-4.54145,0,0.01,0.45
1953,12,-5.67481,0,0.01,0.45
1954,1,-8.295705,0,0.03,0.45
1954,2,-12.04996,0,0.01,0.45
1954,3,-7.51652,0,0.03,0.45
1954,4,-4.895625,0,0.02,0.45
1954,5,1.573338,1,0.01,0.45
1954,6,3.941946,1,0.03,0.45
1954,7,10.356926,1,0.07,0.45
1954,8,6.705322,1,0.08,0.45
1954,9,2.560258,1,0.03,0.45
1954,10,-3.40809,0,0.04,0.45
1954,11,-7.729025,0,0.01,0.45
1954,12,-6.94984,0,0.02,0.45
1955,1,-10.63326,0,0.01,0.45
1955,2,-13.60833,0,0.02,0.45
1955,3,-10.20825,0,0.03,0.45
1955,4,-6.312325,0,0.02,0.45
1955,5,-2.867802,0,0.04,0.45
1955,6,2.16549,1,0.01,0.45
1955,7,7.001398,1,0.01,0.45
1955,8,6.507938,1,0.02,0.45
1955,9,2.757642,1,0.06,0.45
1955,10,-3.762265,0,0.01,0.45
1955,11,-7.729025,0,0.03,0.45
1955,12,-15.87505,0,0.04,0.45
1956,1,-13.32499,0,0.03,0.45
1956,2,-12.687475,0,0.02,0.45
1956,3,-6.879005,0,0.01,0.45
1956,4,-6.94984,0,0,0.45
1956,5,-0.30181,0,0.01,0.45
1956,6,4.534098,1,0.04,0.45
1956,7,8.876546,1,0.03,0.45
