Year,Month,Corrected temp,PrecipSeason,Precip_m_RAW,Tau
1926,7,7.59355,1,0.01,0.45
1926,8,6.804014,1,0.05,0.45
1926,9,1.474646,1,0.02,0.45
1926,10,-5.39147,0,0.04,0.45
1926,11,-6.170655,0,0.02,0.45
1926,12,-11.554115,0,0.04,0.45
1927,1,-12.545805,0,0.02,0.45
1927,2,-8.579045,0,0.03,0.45
1927,3,-8.720715,0,0.01,0.45
1927,4,-6.028985,0,0,0.45
1927,5,-2.27565,0,0.01,0.45
1927,6,4.040638,1,0.04,0.45
1927,7,11.54123,1,0.03,0.45
1927,8,7.494858,1,0.03,0.45
1927,9,1.277262,1,0.02,0.45
1927,10,-4.470615,0,0.03,0.45
1927,11,-8.93322,0,0,0.45
1927,12,-8.36654,0,0.01,0.45
1928,1,-9.712405,0,0,0.45
1928,2,-7.587355,0,0,0.45
1928,3,-6.09982,0,0.01,0.45
1928,4,-4.11644,0,0,0.45
1928,5,-1.091346,0,0.02,0.45
1928,6,4.040638,1,0.07,0.45
1928,7,5.422326,1,0.06,0.45
1928,8,7.297474,1,0.03,0.45
1928,9,1.573338,1,0.03,0.45
1928,10,-4.045605,0,0.04,0.45
1928,11,-7.587355,0,0.01,0.45
1928,12,-10.20825,0,0,0.45
1929,1,-10.49159,0,0.02,0.45
1929,2,-12.47497,0,0.02,0.45
1929,3,-6.24149,0,0.03,0.45
1929,4,-8.0832,0,0.02,0.45
1929,5,-0.104426,0,0.01,0.45
1929,6,3.843254,1,0.04,0.45
1929,7,4.830174,1,0.01,0.45
1929,8,5.027558,1,0.05,0.45
1929,9,2.65895,1,0.02,0.45
1929,10,-3.337255,0,0.02,0.45
1929,11,-5.178965,0,0.01,0.45
1929,12,-5.67481,0,0.02,0.45
1930,1,-8.22487,0,0.01,0.45
1930,2,-6.80817,0,0.02,0.45
1930,3,-9.64157,0,0.05,0.45
1930,4,-4.045605,0,0,0.45
1930,5,1.17857,1,0.01,0.45
1930,6,6.507938,1,0.01,0.45
1930,7,10.949078,1,0.05,0.45
1930,8,9.07393,1,0.05,0.45
1930,9,0.783802,1,0.03,0.45
1930,10,-2.84141,0,0.02,0.45
1930,11,-6.170655,0,0.01,0.45
1930,12,-8.0832,0,0.02,0.45
1931,1,-11.412445,0,0.01,0.45
1931,2,-11.695785,0,0.01,0.45
1931,3,-8.154035,0,0.02,0.45
1931,4,-5.178965,0,0.01,0.45
1931,5,0.092958,1,0.04,0.45
1931,6,2.264182,1,0.05,0.45
1931,7,9.468698,1,0.04,0.45
1931,8,5.323634,1,0.06,0.45
1931,9,-0.005734,0,0.02,0.45
1931,10,-3.54976,0,0.05,0.45
1931,11,-5.67481,0,0.01,0.45
1931,12,-6.028985,0,0.01,0.45
1932,1,-7.162345,0,0.08,0.45
1932,2,-6.94984,0,0.04,0.45
1932,3,-7.020675,0,0.01,0.45
1932,4,-4.895625,0,0.01,0.45
1932,5,-2.374342,0,0.03,0.45
1932,6,3.448486,1,0.02,0.45
1932,7,8.284394,1,0.07,0.45
1932,8,5.61971,1,0.04,0.45
1932,9,0.487726,1,0.07,0.45
1932,10,-5.10813,0,0.01,0.45
1932,11,-6.09982,0,0.03,0.45
1932,12,-4.68312,0,0.02,0.45
1933,1,-7.65819,0,0.01,0.45
1933,2,-12.545805,0,0.01,0.45
1933,3,-8.862385,0,0.03,0.45
1933,4,-6.170655,0,0.02,0.45
1933,5,-1.683498,0,0,0.45
1933,6,7.10009,1,0.01,0.45
1933,7,8.481778,1,0.08,0.45
1933,8,7.10009,1,0.02,0.45
1933,9,2.461566,1,0.02,0.45
1933,10,-2.98308,0,0.01,0.45
1933,11,-5.39147,0,0.01,0.45
1933,12,-6.52483,0,0.08,0.45
1934,1,-5.95815,0,0.03,0.45
1934,2,-8.50821,0,0.05,0.45
1934,3,-8.437375,0,0.01,0.45
1934,4,-5.39147,0,0.01,0.45
1934,5,0.68511,1,0.02,0.45
1934,6,3.843254,1,0.02,0.45
1934,7,11.245154,1,0.07,0.45
1934,8,9.370006,1,0.03,0.45
1934,9,5.718402,1,0.04,0.45
1934,10,-2.55807,0,0.01,0.45
1934,11,-5.2498,0,0.03,0.45
1934,12,-9.287395,0,0.01,0.45
1935,1,-9.004055,0,0.07,0.45
1935,2,-9.145725,0,0.02,0.45
1935,3,-6.6665,0,0.01,0.45
1935,4,-4.68312,0,0.03,0.45
1935,5,-2.966494,0,0.01,0.45
1935,6,3.251102,1,0.03,0.45
1935,7,7.198782,1,0.06,0.45
1935,8,6.507938,1,0.01,0.45
1935,9,0.487726,1,0.02,0.45
1935,10,-3.053915,0,0.03,0.45
1935,11,-6.09982,0,0.01,0.45
1935,12,-7.445685,0,0.02,0.45
1936,1,-12.687475,0,0.03,0.45
1936,2,-14.45835,0,0.01,0.45
1936,3,-9.4999,0,0.03,0.45
1936,4,-5.39147,0,0,0.45
1936,5,1.375954,1,0,0.45
1936,6,6.902706,1,0.01,0.45
1936,7,8.975238,1,0.07,0.45
1936,8,7.297474,1,0.03,0.45
1936,9,2.264182,1,0.02,0.45
1936,10,-3.337255,0,0.02,0.45
1936,11,-4.045605,0,0.02,0.45
1936,12,-5.178965,0,0.04,0.45
1937,1,-8.50821,0,0.01,0.45
1937,2,-11.62495,0,0.02,0.45
1937,3,-9.4999,0,0.02,0.45
1937,4,-2.98308,0,0,0.45
1937,5,1.770722,1,0.02,0.45
1937,6,6.409246,1,0.04,0.45
1937,7,9.56739,1,0.02,0.45
1937,8,9.863466,1,0.04,0.45
1937,9,2.560258,1,0.02,0.45
1937,10,-1.212205,0,0.02,0.45
1937,11,-5.887315,0,0.03,0.45
1937,12,-10.9166,0,0.01,0.45
1938,1,-9.570735,0,0.02,0.45
1938,2,-5.10813,0,0.03,0.45
1938,3,-7.020675,0,0.02,0.45
1938,4,-4.328945,0,0.02,0.45
1938,5,-0.893962,0,0.01,0.45
1938,6,5.224942,1,0.07,0.45
1938,7,11.146462,1,0.04,0.45
1938,8,7.198782,1,0.07,0.45
