Year,Mean_depth_(Lapsed),WinterSeasonCount
1920,2.57,4
1921,2.48,7
1922,2.27,7
1923,2.6,8
1924,2.4,8
1925,2.49,8
1926,2.37,8
1927,2.58,8
1928,2.16,8
1929,2.52,8
1930,2.5,7
1931,2.445,7
1932,2.48,9
1933,2.515,8
1934,3.04,7
1935,2.8,8
1936,2.71,7
1937,2.62,7
1938,2.43,8
1939,2.39,8
1940,2.41,7
1941,2.43,8
1942,2.59,8
1943,2.76,8
1944,2.45,8
1945,2.46,8
1946,2.47,8
1947,2.47,8
1948,2.41,7
1949,2.35,7
1950,2.35,8
1951,2.375,8
1952,2.4,7
1953,2.4,8
1954,2.48,7
1955,2.48,8
1956,2.385,8
1957,2.29,8
1958,2.6,8
1959,2.51,8
1960,2.22,7
1961,2.88,8
1962,2.61,8
1963,2.98,7
1964,2.64,8
1965,2.83,8
1966,2.37,8
1967,2.65,9
1968,2.92,8
1969,2.71,8
1970,2.39,7
1971,2.475,8
1972,2.525,8
1973,2.775,8
1974,2.43,8
1975,2.375,8
1976,2.69,7
1977,2.81,9
1978,2.84,8
1979,2.62,8
1980,2.43,7
1981,2.65,7
1982,2.685,8
1983,2.77,7
1984,2.76,7
1985,2.37,8
1986,2.805,7
1987,2.68,9
1988,2.68,6
1989,2.91,7
1990,2.525,8
1991,2.55,8
1992,2.915,7
1993,3.29,8
1994,2.61,8
1995,2.48,8
1996,2.85,8
1997,2.94,8
1998,2.77,8
1999,2.23,8
2000,2.72,7
2001,2.305,7
2002,2.405,7
2003,2.755,7
2004,2.4,7
2005,2.605,8
2006,2.465,7
2007,2.555,7
2008,2.465,8
2009,2.545,7
2010,2.48,7
2011,2.695,7
